gene	locus	Step
dgoR	b4479	10
dgoK	b3693	10
dgoA	b4477	10
dgoD	b4478	10
dgoT	b3691	10
cbrA	b3690	10
yidR	b3689	10
yidQ	b3688	10
yidE	b3685	10
yidP	b3684	10
glvC	b3683	10
glvB	b3682	10
yidL	b3680	10
yidK	b3679	10
yidJ	b3678	10
yidI	b3677	10
yidH	b3676	10
yidG	b3675	10
yidF	b3674	10
yecT	b1877	11
flhE	b1878	11
flhA	b1879	11
flhB	b1880	11
cheZ	b1881	11
cheY	b1882	11
cheB	b1883	11
cheR	b1884	11
tap	b1885	11
tar	b1886	11
cheW	b1887	11
cheA	b1888	11
motB	b1889	11
motA	b1890	11
flhC	b1891	11
flhD	b1892	11
insH	unique to W3110	11
yecG	b1895	11
otsA	b1896	11
otsB	b1897	11
araH	b4460	11
araG	b1900	11
araF	b1901	11
yecI	b1902	11
yecJ	b4537	11
yecR	b1904	11
ftn	b1905	11
yecH	b1906	11
tyrP	b1907	11
uvrC	b1913	11
uvrY	b1914	11
yecF	b1915	11
sdiA	b1916	11
yecC	b1917	11
yecS	b1918	11
yedO	b1919	11
fliY	b1920	11
fliZ	b1921	11
fliA	b1922	11
fliC	b1923	11
fliD	b1924	11
fliS	b1925	11
fliT	b1926	11
amyA	b1927	11
yedD	b1928	11
yedE	b1929	11
yedF	b1930	11
yedK	b1931	11
yedL	b1932	11
yedM	b1935	11
fliE	b1937	11
fliF	b1938	11
fliG	b1939	11
fliH	b1940	11
fliI	b1941	11
fliJ	b1942	11
fliK	b1943	11
fliL	b1944	11
fliM	b1945	11
fliN	b1946	11
fliO	b1947	11
fliP	b1948	11
fliQ	b1949	11
fliR	b1950	11
rcsA	b1951	11
dsrB	b1952	11
yodD	b1953	11
yedA	b1959	11
vsr	b1960	11
dcm	b1961	11
yedJ	b1962	11
yedR	b1963	11
hchA	b1967	11
yedV	b1968	11
yedW	b1969	11
yedX	b1970	11
yedY	b1971	11
yedZ	b1972	11
yodA	b1973	11
insH	b1994	11
insD	b1996	11
insC	b1997	11
yoeE	b1998	11
flu	b2000	11
yeeR	b2001	11
yeeS	b2002	11
yeeT	b2003	11
yeeU	b2004	11
yeeV	b2005	11
yeeW	b2006	11
yoeF	b4538	11
insH	b2030	11
wbbK	b2032	11
wbbJ	b2033	11
wbbI	b2034	11
wbbH	b2035	11
glf	b2036	11
rfbX	b2037	11
rfbC	b2038	11
rfbA	b2039	11
rfbD	b2040	11
rfbB	b2041	11
intA	b2622	12
yfjH	b2623	12
alpA	b2624	12
yfjI	b2625	12
yfjJ	b2626	12
yfjK	b2627	12
yfjL	b2628	12
yfjM	b2629	12
yfjN	b2630	12
yfjO	b2631	12
yfjP	b2632	12
yfjQ	b2633	12
yfjR	b2634	12
ypjK	b2635	12
yfjS	b2636	12
yfjT	b2637	12
yfjU	b2638	12
ypjL	b2639	12
yfjV	b2640	12
yfjW	b2642	12
yfjX	b2643	12
yfjY	b2644	12
ypjJ	b4548	12
yfjZ	b2645	12
ypjF	b2646	12
ypjA	b2647	12
ypjB	b2649	12
ypjC	b2650	12
ygaQ	b2654	12
ygaR	b4462	12
yqaD	b2658	12
csiR	b2664	12
ygaU	b2665	12
yqaE	b2666	12
ygaV	b2667	12
ygaP	b2668	12
stpA	b2669	12
ygaW	b2670	12
ygaC	b2671	12
ygaM	b2672	12
nrdH	b2673	12
nrdI	b2674	12
nrdE	b2675	12
srlA	b2702	12
srlE	b2703	12
srlB	b2704	12
srlD	b2705	12
gutM	b2706	12
srlR	b2707	12
gutQ	b2708	12
gltF	b3214	13
yhcA	b3215	13
yhcD	b3216	13
insH	b3218	13
yhcF	b3219	13
yhcG	b3220	13
yhcH	b3221	13
nanK	b3222	13
yegE	b2067	14
alkA	b2068	14
yegD	b2069	14
yegI	b2070	14
yegJ	b2071	14
yegK	b2072	14
yegL	b2073	14
mdtA	b2074	14
mdtB	b2075	14
mdtC	b2076	14
mdtD	b2077	14
baeS	b2078	14
baeR	b2079	14
yegP	b2080	14
yegQ	b2081	14
ogrK	b2082	14
yegR	b2085	14
yegS	b2086	14
insE	b2088	14
insF	b2089	14
gatD	b2091	14
gatC	b2092	14
gatB	b2093	14
gatA	b2094	14
insH	unique to W3110	14
gatA	b2094	14
gatZ	b2095	14
gatY	b2096	14
fbaB	b2097	14
yegT	b2098	14
yegU	b2099	14
yegV	b2100	14
yegW	b2101	14
yegX	b2102	14
yehI	b2118	14
yehK	b4541	14
yehL	b2119	14
yehM	b2120	14
yehP	b2121	14
yehQ	b2122	14
yehR	b2123	14
yehS	b2124	14
yehT	b2125	14
yehU	b2126	14
mlrA	b2127	14
yohO	b4542	14
yehW	b2128	14
yehX	b2129	14
yehY	b2130	14
yehZ	b2131	14
bglX	b2132	14
dld	b2133	14
pbpG	b2134	14
yohC	b2135	14
yeiI	b2160	14
yeiJ	b2161	14
rihB	b2162	14
yeiL	b2163	14
yeiM	b2164	14
yeiN	b2165	14
yeiC	b2166	14
cmtA	b2933	15
cmtB	b2934	15
intB	b4271	16
insC	b4272	16
insD	b4273	16
yjgW	b4274	16
yjgZ	b4277	16
insG	b4278	16
yjhB	b4279	16
yjhC	b4280	16
insN	b4283	16
insI	b4284	16
yjhV	b4286	16
insA	b4294	16
yjhU	b4295	16
yjhF	b4296	16
yjhG	b4297	16
yjhH	b4298	16
yjhI	b4299	16
sgcR	b4300	16
sgcE	b4301	16
sgcA	b4302	16
sgcQ	b4303	16
sgcC	b4304	16
sgcB	b4565	16
sgcX	b4305	16
yjhP	b4306	16
yjhQ	b4307	16
yjhX	b4566	16
yjhR	b4308	16
yjhS	b4309	16
yjhT	b4310	16
yjhA	b4311	16
fimB	b4312	16
fimE	b4313	16
fimA	b4314	16
fimI	b4315	16
fimC	b4316	16
fimD	b4317	16
fimF	b4318	16
fimG	b4319	16
fimH	b4320	16
gntP	b4321	16
uxuA	b4322	16
uxuB	b4323	16
uxuR	b4324	16
yjiC	b4325	16
yjiD	b4326	16
yjiE	b4327	16
iadA	b4328	16
yjiG	b4329	16
yjiH	b4330	16
kptA	b4331	16
yjiJ	b4332	16
yjiK	b4333	16
yjiL	b4334	16
yjiM	b4335	16
yjiN	b4336	16
yjiO	b4337	16
yjiQ	b4339	16
yjiR	b4340	16
yjiS	b4341	16
yjiT	b4342	16
mcrC	b4345	16
mcrB	b4346	16
yjiW	b4347	16
hsdS	b4348	16
hsdM	b4349	16
hsdR	b4350	16
mrr	b4351	16
yjiA	b4352	16
yjiX	b4353	16
yjiY	b4354	16
tsr	b4355	16
yjiZ	b4356	16
yjjM	b4357	16
yjjN	b4358	16
mdoB	b4359	16
yjjA	b4360	16
kdpF	b4513	17
ybfA	b0699	17
rhsC	b0700	17
ybfB	b0702	17
ybfO	b0703	17
ybfC	b0704	17
ybfQ	b4514	17
ybfD	b0706	17
ybgA	b0707	17
phr	b0708	17
yjfI	b4181	18
yjfJ	b4182	18
yjfK	b4183	18
yjfL	b4184	18
yjfM	b4185	18
yjfC	b4186	18
aidB	b4187	18
yjfN	b4188	18
yjfO	b4189	18
yjfP	b4190	18
ulaR	b4191	18
ulaG	b4192	18
ulaA	b4193	18
ulaB	b4194	18
ulaC	b4195	18
ulaD	b4196	18
ulaE	b4197	18
ulaF	b4198	18
yhiN	b3492	19
yhiM	b3491	19
yhiL	b3490	19
yhiJ	b3488	19
yhiI	b3487	19
rbbA	b3486	19
yhhJ	b3485	19
yhhI	b3484	19
yhhH	b3483	19
rhsB	b3482	19
ybiA	b0798	20
dinG	b0799	20
ybiB	b0800	20
ybiC	b0801	20
ybiJ	b0802	20
ybiI	b0803	20
ybiX	b0804	20
fiu	b0805	20
ybiM	b0806	20
ybiN	b0807	20
ybiO	b0808	20
glnQ	b0809	20
glnP	b0810	20
yliA	b0829	20
yliB	b0830	20
yliC	b0831	20
yliD	b0832	20
yliE	b0833	20
yliF	b0834	20
yliG	b0835	20
yliH	b0836	20
yliI	b0837	20
yliJ	b0838	20
dacC	b0839	20
deoR	b0840	20
ybjC	b0850	20
nfsA	b0851	20
rimK	b0852	20
ybjN	b0853	20
potF	b0854	20
potG	b0855	20
potH	b0856	20
potI	b0857	20
ybjO	b0858	20
rumB	b0859	20
artJ	b0860	20
artM	b0861	20
artQ	b0862	20
artI	b0863	20
artP	b0864	20
ybjP	b0865	20
ybjQ	b0866	20
ybjR	b0867	20
ybjS	b0868	20
ybjT	b0869	20
ygiS	b3020	21
ygiT	b3021	21
ygiU	b3022	21
ygiV	b3023	21
ygiW	b3024	21
qseB	b3025	21
qseC	b3026	21
ygiZ	b3027	21
mdaB	b3028	21
ygiN	b3029	21
ybeL	b0643	22
ybeQ	b0644	22
ybeR	b0645	22
djlB	b0646	22
ybeT	b0647	22
ybeU	b0648	22
djlC	b0649	22
hscC	b0650	22
rihA	b0651	22
gltL	b0652	22
gltK	b0653	22
gltJ	b0654	22
gltI	b0655	22
insH	b0656	22
yfcC	b2298	23
yfcD	b2299	23
yfcE	b2300	23
yfcF	b2301	23
yfcG	b2302	23
folX	b2303	23
yfcH	b2304	23
yfcI	b2305	23
hisP	b2306	23
hisM	b2307	23
hisQ	b2308	23
hisJ	b2309	23
intS	b2349	23
yfdG	b2350	23
yfdH	b2351	23
yfdI	b2352	23
yfdK	b2354	23
yfdL	b2355	23
yfdM	b2356	23
yfdN	b2357	23
yfdO	b2358	23
yfdP	b2359	23
yfdQ	b2360	23
yfdR	b2361	23
yfdS	b2362	23
yfdT	b2363	23
ypdJ	b4545	23
chiA	b3338	24
bfd	b3337	24
bfr	b3336	24
gspO	b3335	24
gspM	b3334	24
gspL	b3333	24
gspK	b3332	24
gspJ	b3331	24
gspI	b3330	24
gspH	b3329	24
gspG	b3328	24
gspF	b3327	24
gspE	b3326	24
gspD	b3325	24
gspC	b3324	24
gspA	b3323	24
elaB	b2266	25
elaA	b2267	25
elaC	b2268	25
elaD	b2269	25
yfbK	b2270	25
yfbL	b2271	25
yfbM	b2272	25
yfbN	b2273	25
yfbO	b2274	25
yfbP	b2275	25
yhdJ	b3262	26
yhdU	b3263	26
envR	b3264	26
acrE	b3265	26
acrF	b3266	26
yhdV	b3267	26
yhdW	b3268	26
yhdX	b3269	26
yhdY	b3270	26
chpA	b2782	27
fhuA	b0150	28
fhuC	b0151	28
fhuD	b0152	28
fhuB	b0153	28
uspG	b0607	29
ybdR	b0608	29
rnk	b0610	29
rna	b0611	29
citT	b0612	29
citG	b0613	29
citX	b0614	29
citF	b0615	29
citE	b0616	29
citD	b0617	29
citC	b0618	29
citA	b0619	29
citB	b0620	29
dcuC	b0621	29
insH	unique to W3110	29
dcuC	b0621	29
crcA	b0622	29
cspE	b0623	29
crcB	b0624	29
ybeH	b0625	29
ybeM	b0626	29
yqcA	b2790	29
yqcB	b2791	29
yqcC	b2792	29
syd	b2793	29
yqcD	b2794	29
ygdH	b2795	29
sdaC	b2796	29
sdaB	b2797	29
exo	b2798	29
fucO	b2799	29
fucA	b2800	29
fucP	b2801	29
fucI	b2802	29
fucK	b2803	29
fucU	b2804	29
fucR	b2805	29
ygdE	b2806	29
ygdD	b2807	29
gcvA	b2808	29
ygdI	b2809	29
csdA	b2810	29
ygdK	b2811	29
araD	b0061	29
araA	b0062	29
araB	b0063	29
araC	b0064	29
yabI	b0065	29
thiQ	b0066	29
thiP	b0067	29
tbpA	b0068	29
sgrR	b0069	29
setA	b0070	29
yhfZ	b3383	29
yhfY	b3382	29
yhfX	b3381	29
yhfW	b3380	29
php	b3379	29
yhfU	b3378	29
yhfT	b3377	29
yhfS	b3376	29
frlR	b3375	29
frlD	b3374	29
frlC	b4474	29
frlB	b3371	29
frlA	b3370	29
yhfL	b3369	29
ansA	b1767	29
pncA	b1768	29
ydjE	b1769	29
ydjF	b1770	29
ydjG	b1771	29
ydjH	b1772	29
ydjI	b1773	29
ydjJ	b1774	29
ydjK	b1775	29
ydjL	b1776	29
yeaC	b1777	29
yeaA	b1778	29
ade	b3665	29
yicO	b3664	29
yicN	b3663	29
yicM	b3662	29
yicS	b4555	29
nlpA	b3661	29
yicL	b3660	29
setC	b3659	29
ygjI	b3078	29
ygjJ	b3079	29
ygjK	b3080	29
fadH	b3081	29
ygjM	b3082	29
ygjN	b3083	29
ygjO	b3084	29
ygjP	b3085	29
ygjQ	b3086	29
ygjR	b3087	29
alx	b3088	29
sstT	b3089	29
yrhB	b3446	29
insB	b3445	29
insA	b3444	29
yrhA	b3443	29
yhhZ	b3442	29
yhhY	b3441	29
yhhX	b3440	29
yeaK	b1787	29
yoaI	b1788	29
yeaL	b1789	29
yeaM	b1790	29
yeaN	b1791	29
yeaO	b1792	29
yoaF	b1793	29
yeaP	b1794	29
yeaQ	b1795	29
yoaG	b1796	29
yeaR	b1797	29
yeaS	b1798	29
yeaT	b1799	29
yeaU	b1800	29
yeaV	b1801	29
yeaW	b1802	29
yeaX	b1803	29
hyfA	b2481	29
hyfB	b2482	29
hyfC	b2483	29
hyfD	b2484	29
hyfE	b2485	29
hyfF	b2486	29
hyfG	b2487	29
hyfH	b2488	29
hyfI	b2489	29
hyfJ	b2490	29
hyfR	b2491	29
focB	b2492	29
