,Well,Strain,Cumate,Inoculation
36,E22,MGF01,0.0,M9CA
37,F22,MGF01,5.0,M9CA
38,G22,MGF01,20.0,M9CA
39,H22,MGF01,100.0,M9CA
40,E23,MGF02,0.0,M9CA
41,F23,MGF02,5.0,M9CA
42,G23,MGF02,20.0,M9CA
43,H23,MGF02,100.0,M9CA
44,E24,DGF298,0.0,M9CA
45,F24,DGF298,5.0,M9CA
46,G24,DGF298,20.0,M9CA
47,H24,DGF298,100.0,M9CA
0,I13,W3110,0.0,M9CA
1,J13,W3110,5.0,M9CA
2,K13,W3110,20.0,M9CA
3,L13,W3110,100.0,M9CA
4,I14,Step06,0.0,M9CA
5,J14,Step06,5.0,M9CA
6,K14,Step06,20.0,M9CA
7,L14,Step06,100.0,M9CA
8,I15,Step07,0.0,M9CA
9,J15,Step07,5.0,M9CA
10,K15,Step07,20.0,M9CA
11,L15,Step07,100.0,M9CA
12,I16,Step10,0.0,M9CA
13,J16,Step10,5.0,M9CA
14,K16,Step10,20.0,M9CA
15,L16,Step10,100.0,M9CA
16,I17,Step11,0.0,M9CA
17,J17,Step11,5.0,M9CA
18,K17,Step11,20.0,M9CA
19,L17,Step11,100.0,M9CA
20,I18,Step12,0.0,M9CA
21,J18,Step12,5.0,M9CA
22,K18,Step12,20.0,M9CA
23,L18,Step12,100.0,M9CA
24,I19,Step13,0.0,M9CA
25,J19,Step13,5.0,M9CA
26,K19,Step13,20.0,M9CA
27,L19,Step13,100.0,M9CA
28,I20,Step15,0.0,M9CA
29,J20,Step15,5.0,M9CA
30,K20,Step15,20.0,M9CA
31,L20,Step15,100.0,M9CA
32,I21,Step16,0.0,M9CA
33,J21,Step16,5.0,M9CA
34,K21,Step16,20.0,M9CA
35,L21,Step16,100.0,M9CA
36,I22,MGF01,0.0,M9CA
37,J22,MGF01,5.0,M9CA
38,K22,MGF01,20.0,M9CA
39,L22,MGF01,100.0,M9CA
40,I23,MGF02,0.0,M9CA
41,J23,MGF02,5.0,M9CA
42,K23,MGF02,20.0,M9CA
43,L23,MGF02,100.0,M9CA
44,I24,DGF298,0.0,M9CA
45,J24,DGF298,5.0,M9CA
46,K24,DGF298,20.0,M9CA
47,L24,DGF298,100.0,M9CA
0,M13,W3110,0.0,M9CA
1,N13,W3110,5.0,M9CA
2,O13,W3110,20.0,M9CA
3,P13,W3110,100.0,M9CA
4,M14,Step06,0.0,M9CA
5,N14,Step06,5.0,M9CA
6,O14,Step06,20.0,M9CA
7,P14,Step06,100.0,M9CA
8,M15,Step07,0.0,M9CA
9,N15,Step07,5.0,M9CA
10,O15,Step07,20.0,M9CA
11,P15,Step07,100.0,M9CA
12,M16,Step10,0.0,M9CA
13,N16,Step10,5.0,M9CA
14,O16,Step10,20.0,M9CA
15,P16,Step10,100.0,M9CA
16,M17,Step11,0.0,M9CA
17,N17,Step11,5.0,M9CA
18,O17,Step11,20.0,M9CA
19,P17,Step11,100.0,M9CA
20,M18,Step12,0.0,M9CA
21,N18,Step12,5.0,M9CA
