level_0,Step05_predicted_from_W3110,Step09_predicted_from_Step05,Step10_predicted_from_Step09,Step10_predicted_from_W3110,iBAQ_Step04,iBAQ_Step05,iBAQ_Step09,iBAQ_Step10,iBAQ_W3110,$D_{KL}\left(\text{iBAQ_Step05}\|\text{Step05_predicted_from_W3110}\right)$,$D_{KL}\left(\text{iBAQ_Step10}\|\text{Step10_predicted_from_Step09}\right)$,$D_{KL}\left(\text{iBAQ_Step09}\|\text{Step09_predicted_from_Step05}\right)$,$D_{KL}\left(\text{iBAQ_Step10}\|\text{Step10_predicted_from_W3110}\right)$,$\log_2\left(\frac{\text{iBAQ_Step05}}{\text{Step05_predicted_from_W3110}}\right)$,$\log_2\left(\frac{\text{iBAQ_Step10}}{\text{Step10_predicted_from_Step09}}\right)$,$\log_2\left(\frac{\text{iBAQ_Step10}}{\text{Step10_predicted_from_W3110}}\right)$,$\log_2\left(\frac{\text{iBAQ_Step09}}{\text{Step09_predicted_from_Step05}}\right)$
b2865,5.218664390124268e-06,0.0,0.0,0.0,4.488432652562038e-06,4.681735509778053e-06,0.0,0.0,5.21117170501654e-06,2.862054970914523e-08,0.0,0.0,0.0,-0.15663719283608302,,,
b0381,7.012259108220682e-05,0.0,0.0,0.0,6.179228019093082e-05,6.254778189256663e-05,0.0,0.0,7.002191273720514e-05,4.2470725471800165e-07,0.0,0.0,0.0,-0.16492058217317407,,,
b4506,6.889502536741498e-05,0.0,0.0,0.0,8.388290097019736e-06,1.4762174367159565e-05,0.0,0.0,6.87961094969973e-05,3.1391487385348604e-05,0.0,0.0,0.0,-2.222494579339644,,,
b0273,2.862837435055593e-05,0.0,0.0,0.0,6.848777214935819e-05,0.00013120616571981813,0.0,0.0,2.8587271229504347e-05,9.716674041474672e-05,0.0,0.0,0.0,2.1963178625678754,,,
b0281,1.972821162132907e-06,0.0,0.0,0.0,9.034040980506579e-07,7.078796468359487e-06,0.0,0.0,1.969988688795534e-06,3.938173418343044e-06,0.0,0.0,0.0,1.8432439147417234,,,
b0287,0.0001897172221171716,0.0,0.0,0.0,0.00018521824028727143,0.00015699978510419344,0.0,0.0,0.00018944483606231686,2.9989127888827417e-06,0.0,0.0,0.0,-0.27308806500714056,,,
b0296,0.0026480229683600084,0.0,0.0,0.0,0.0014198202358157018,8.727731700034855e-05,0.0,0.0,0.0026442210756195024,0.0022629137280730707,0.0,0.0,0.0,-4.923165073260311,,,
b0223,6.6419935485941225e-06,0.0,0.0,0.0,2.9149128612638887e-06,1.4762174367159565e-05,0.0,0.0,6.632457321999181e-06,3.669717892406607e-06,0.0,0.0,0.0,1.1522170094902755,,,
b0357,2.5839684229383216e-05,0.0,0.0,0.0,4.531340865231576e-05,4.5379927964616925e-05,0.0,0.0,2.5802584963605506e-05,6.015845403040791e-06,0.0,0.0,0.0,0.8124658790347237,,,
b0304,2.9609380543982208e-05,0.0,0.0,0.0,4.43726538794932e-05,3.8673161877519534e-05,0.0,0.0,2.9566868945598762e-05,1.264066241785884e-06,0.0,0.0,0.0,0.3852784141923795,,,
b0315,7.00518969658612e-06,0.0,0.0,0.0,2.0412239853719895e-06,2.610185390253528e-06,0.0,0.0,6.995132011977057e-06,1.8181509573295243e-06,0.0,0.0,0.0,-1.4242718396886573,,,
b0324,1.0982725242019157e-05,0.0,0.0,0.0,2.1296671455293754e-05,8.139435642574065e-06,0.0,0.0,1.0966956820118169e-05,4.046922193342938e-07,0.0,0.0,0.0,-0.432235415513162,,,
b0325,0.0006416703363510785,0.0,0.0,0.0,0.000635353111607834,0.000562464556671744,0.0,0.0,0.00064074905967685,5.103011862797645e-06,0.0,0.0,0.0,-0.19007010197703167,,,
b0329,0.0036328898558158993,0.0,0.0,0.0,0.0039894568535459585,0.002548120249234234,0.0,0.0,0.0036276739427611726,0.0001810214149697148,0.0,0.0,0.0,-0.511684263975674,,,
b0336,2.2180593856496612e-05,0.0,0.0,0.0,0.00012915372826366713,9.881151353370245e-05,0.0,0.0,2.214874812110431e-05,7.099312342241244e-05,0.0,0.0,0.0,2.1553811623698707,,,
b0337,0.0004458893784306218,0.0,0.0,0.0,0.0014706704575430552,0.0016576902035131873,0.0,0.0,0.000445249193805647,0.0009649280583355377,0.0,0.0,0.0,1.8944166761748527,,,
b0345,0.0001483600005793478,0.0,0.0,0.0,1.8502592828065416e-05,5.743395021931115e-06,0.0,0.0,0.00014814699305791627,0.00012394143253694482,0.0,0.0,0.0,-4.691054576865785,,,
b0226,6.74737913679798e-05,0.0,0.0,0.0,6.962496670101074e-05,7.459695869614173e-05,0.0,0.0,6.737691603092967e-05,3.6342013191531064e-07,0.0,0.0,0.0,0.14478958379296003,,,
b0355,1.5108427671396837e-05,0.0,0.0,0.0,2.1251583051987804e-05,2.2028600441817143e-05,0.0,0.0,1.5086735781949246e-05,1.3865683150881862e-06,0.0,0.0,0.0,0.5440243106530804,,,
b0224,3.231453133117099e-06,0.0,0.0,0.0,4.560544550710645e-06,1.1020013632175766e-05,0.0,0.0,3.2268135818915697e-06,5.730584148122102e-06,0.0,0.0,0.0,1.7698710356039236,,,
b0356,0.00019239919589320175,0.0,0.0,0.0,0.00019924259894302452,0.00025361744083872694,0.0,0.0,0.00019212295920081437,8.84474843767231e-06,0.0,0.0,0.0,0.3985511909965638,,,
b0384,3.1273664165369613e-06,0.0,0.0,0.0,1.1198727919985829e-05,3.2139742473506965e-06,0.0,0.0,3.122876307569629e-06,1.1883188938068073e-09,0.0,0.0,0.0,0.03941010725167615,,,
b0382,0.00030591396424283667,0.0,0.0,0.0,0.00025402129105938373,0.00025013933233749284,0.0,0.0,0.0003054747489891281,5.425134320291851e-06,0.0,0.0,0.0,-0.2903940367890616,,,
b0312,3.1222360101601566e-05,0.0,0.0,0.0,2.9745788244224677e-05,2.7608084422926695e-05,0.0,0.0,3.1177532671616976e-05,2.177672295810361e-07,0.0,0.0,0.0,-0.1774888043944074,,,
b0261,9.467914906646944e-06,0.0,0.0,0.0,1.0415708514900181e-05,1.050129802441473e-05,0.0,0.0,9.454321370117461e-06,5.44480957053789e-08,0.0,0.0,0.0,0.14944901985956704,,,
b3751,0.00044956003589214543,0.0006372475367415588,0.0,0.0,0.0005227054384041507,0.0006330176309321659,0.00047452398628845685,0.0,0.00044891458112936497,3.317931237064854e-05,0.0,2.2812046273390052e-05,0.0,0.49373189106068516,,,2.9626600974479382
b3689,4.795948752769418e-06,4.4437928811656445e-06,0.0,0.0,6.4136961504627535e-06,4.414295983586573e-06,8.029878373346188e-06,0.0,4.789062980642492e-06,1.560526253265766e-08,0.0,1.1648813157187919e-06,0.0,-0.11963287566977598,,,6.047435816331353
b3697,0.0001760673985148361,0.0001588734670750102,0.0,0.0,0.0001674951273573933,0.00015781890073682513,0.0001867354846972859,0.0,0.00017581461016207193,9.801603913507618e-07,0.0,2.3116383430207615e-06,0.0,-0.15785780154226536,,,4.03401671158365
