$gene_or_promoter	SolutionOrder	mass reclaimed $(fg/cell)$	A14.07036	cumulativeMass
b3322	11	24.412940987972263	0.017911945107084437	166.90847841848804
b3323	11	24.412940987972263	0.017911945107084437	166.92639036359512
PM-8819	11	24.412940987972263	0.0	166.92639036359512
PM0-9514	11	24.412940987972263	0.0	166.92639036359512
b3324	11	24.412940987972263	0.017911945107084437	166.9443023087022
b3325	11	24.412940987972263	0.017911945107084437	166.96221425380926
b3326	11	24.412940987972263	0.017911945107084437	166.98012619891634
b3327	11	24.412940987972263	0.017911945107084437	166.9980381440234
b3328	11	24.412940987972263	0.017911945107084437	167.01595008913048
b3329	11	24.412940987972263	0.017911945107084437	167.03386203423756
b3330	11	24.412940987972263	0.017911945107084437	167.05177397934463
b3331	11	24.412940987972263	0.017911945107084437	167.0696859244517
b3332	11	24.412940987972263	0.017911945107084437	167.08759786955878
b3333	11	24.412940987972263	0.017911945107084437	167.10550981466585
b3334	11	24.412940987972263	0.017911945107084437	167.12342175977292
b3335	11	24.412940987972263	0.017911945107084437	167.14133370488
b3336	11	24.412940987972263	0.1046509696138581	167.24598467449385
b3337	11	24.412940987972263	0.017911945107084437	167.26389661960093
b3338	11	24.412940987972263	0.017911945107084437	167.281808564708
PM0-3321	11	24.412940987972263	0.0	167.281808564708
b3339	11	24.412940987972263	18.991247763640633	186.27305632834864
PM0-9799	11	24.412940987972263	0.0	186.27305632834864
b3340	11	24.412940987972263	5.048363078111676	191.3214194064603
b0955	10	7.079688593152859	0.017911945107084437	53.96032088592356
PM0-10011	10	7.079688593152859	0.0	53.96032088592356
b0956	10	7.079688593152859	0.0012827268827450891	53.9616036128063
b0957	10	7.079688593152859	6.836846045412936	60.79844965821923
PM00064	10	7.079688593152859	0.0	60.79844965821923
b0958	10	7.079688593152859	0.017911945107084437	60.81636160332632
PM00092	10	7.079688593152859	0.0	60.81636160332632
PM0-46336	10	7.079688593152859	0.0	60.81636160332632
